endereco,preco,quartos,metragem,vagas
"Rua JACARANDA, RESIDENCIAL ARAUJOVILLE, ANAPOLIS",620.000,3,93 m²,2 Vagas
"Rua 03, CIDADE JARDIM, ANAPOLIS",650.000,4,206 m²,2 Vagas
"Avenida Presidente José Sarney, VILA NOSSA SENHORA DABADIA, ANAPOLIS",210.000,3,67 m²,1 Vaga
"Rua QUINZE DE DEZEMBRO, SETOR CENTRAL, ANAPOLIS",300.000,3,115 m²,1 Vaga
"AVENIDA UNIVERSITARIA, MARACANA, ANAPOLIS",780.000,3,9 m²,2 Vagas
"Rua DOUTOR VITAL BRASIL, CIDADE UNIVERSITARIA, ANAPOLIS",370.000,1,38 m²,
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",700.000,3,110 m²,3 Vagas
"AVENIDA UNIVERSITARIA, MARACANA, ANAPOLIS",490.000,2,67 m²,1 Vaga
"Rua Pecuária, SETOR SUL JAMIL MIGUEL, ANAPOLIS",270.000,2,60 m²,1 Vaga
"Rua ELIAS GOMES, VILA SANTA MARIA DE NAZARETH, ANAPOLIS",215.000,3,74 m²,1 Vaga
"Rua 01, BATISTA, ANAPOLIS",250.000,1,50 m²,1 Vaga
"AVENIDA BERNARDO SAYAO, VILA JAIARA, ANAPOLIS",290.000,3,80 m²,1 Vaga
"Rua BERNARDO SAYAO, MARACANANZINHO, ANAPOLIS",300.000,1,38 m²,
"AVENIDA TIRADENTES, JARDIM ALEXANDRINA, ANAPOLIS",220.000,2,42 m²,1 Vaga
"AVENIDA PRINCESA ISABEL, ANTONIO FERNANDES, ANAPOLIS",400.000,4,130 m²,3 Vagas
"AVENIDA JUSCELINO KUBITSCHEK, JUNDIAI, ANAPOLIS",470.000,3,147 m²,2 Vagas
"Avenida Ferroviária, VILA FORMOSA, ANAPOLIS",330.000,2,55 m²,1 Vaga
"Rua JM 0033, SETOR SUL JAMIL MIGUEL, ANAPOLIS",360.000,3,82 m²,2 Vagas
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",650.000,2,66 m²,1 Vaga
"Rua CARLINHOS JOSE RIBEIRO, VILA JAIARA, ANAPOLIS",370.000,3,77 m²,2 Vagas
"Rua D, VILA FORMOSA, ANAPOLIS",1.790.000,4,250 m²,4 Vagas
"Rua 01, CIDADE JARDIM, ANAPOLIS",900.000,4,284 m²,2 Vagas
"Rua 01, CHACARAS COLORADO, ANAPOLIS",370.000,3,79 m²,1 Vaga
"Avenida Ferroviária, VILA FORMOSA, ANAPOLIS",250.000,2,55 m²,1 Vaga
"AVENIDA PATRIARCA, LOURDES, ANAPOLIS",190.000,2,53 m²,1 Vaga
"Avenida José Neto Paranhos, JUNDIAI, ANAPOLIS",670.000,3,99 m²,2 Vagas
"Rua 22, CHACARAS AMERICANAS, ANAPOLIS",90.000,2,60 m²,1 Vaga
"Rua AUGUSTA PEREIRA, JARDIM ALEXANDRINA, ANAPOLIS",220.000,2,58 m²,2 Vagas
"Rua RA 05, RESIDENCIAL ARAGUAIA, ANAPOLIS",345.000,2,89 m²,2 Vagas
"AVENIDA MIRAGE, CALIXTOLANDIA 2 ETAPA, ANAPOLIS",245.000,2,40 m²,1 Vaga
"Rua DAYSE FANSTONE, CIDADE UNIVERSITARIA, ANAPOLIS",360.000,3,86 m²,2 Vagas
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",418.000,2,60 m²,2 Vagas
"Rua F, CIDADE JARDIM, ANAPOLIS",440.000,3,78 m²,2 Vagas
"PRACA SANTOS DUMONT, VILA JUSSARA, ANAPOLIS",230.000,1,27 m²,
"Rua FRANCISCO DA LUZ BASTOS, JUNDIAI, ANAPOLIS",1.499.000,4,282 m²,3 Vagas
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",750.000,3,110 m²,3 Vagas
"Rua PADRE CASTELLI, JUNDIAI, ANAPOLIS",2.596.371,4,368 m²,4 Vagas
"AVENIDA FABRIL, VILA FABRIL, ANAPOLIS",170.000,2,50 m²,1 Vaga
"Rua PADRE CASTELLI, JUNDIAI, ANAPOLIS",3.708.966,4,331 m²,4 Vagas
"AVENIDA UNIVERSITARIA, MARACANA, ANAPOLIS",635.000,3,89 m²,2 Vagas
"Rua AVELAR, VILA SANTA ISABEL, ANAPOLIS",205.000,2,0 m²,1 Vaga
"Rua DOUTOR VITAL BRASIL, CIDADE UNIVERSITARIA, ANAPOLIS",390.000,1,39 m²,1 Vaga
"Rua 11, JK PARQUE INDUSTRIAL NOVA CAPITAL, ANAPOLIS",800.000,3,89 m²,1 Vaga
"Rua VINTE E QUATRO DE AGOSTO, JARDIM ALEXANDRINA, ANAPOLIS",680.000,3,101 m²,2 Vagas
"AVENIDA JAMEL CECILIO, JUNDIAI, ANAPOLIS",750.000,3,140 m²,3 Vagas
"Rua FLORIANO PEIXOTO, SETOR CENTRAL, ANAPOLIS",350.000,3,96 m²,2 Vagas
"Rua 04, CHACARAS COLORADO, ANAPOLIS",420.000,3,79 m²,2 Vagas
"Rua JACARANDA, RESIDENCIAL ARAUJOVILLE, ANAPOLIS",550.000,3,93 m²,2 Vagas
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",472.500,3,79 m²,1 Vaga
"PRACA BARTOLOMEU DE GUSMAO, JUNDIAI, ANAPOLIS",1.200.000,4,178 m²,3 Vagas
"Rua 06, CHACARAS COLORADO, ANAPOLIS",275.000,3,79 m²,1 Vaga
"AVENIDA FABRIL, VILA FABRIL, ANAPOLIS",200.000,2,47 m²,1 Vaga
"PRACA SANTOS DUMONT, VILA JUSSARA, ANAPOLIS",260.000,1,32 m²,1 Vaga
"AVENIDA MARANHAO, JUNDIAI, ANAPOLIS",850.000,3,110 m²,2 Vagas
"Rua 18, CONJUNTO HABITACIONAL VILA UNIAO, ANAPOLIS",320.000,1,100 m²,
"Rua RC 05, RESIDENCIAL CEREJEIRAS, ANAPOLIS",225.000,2,75 m²,2 Vagas
"AVENIDA UNIVERSITARIA, JARDIM DAS AMERICAS 2 ETAPA, ANAPOLIS",340.000,1,37 m²,
"Rua EVANGELINO MEIRELES, JUNDIAI, ANAPOLIS",1.150.000,3,124 m²,2 Vagas
"Rua 11, JK PARQUE INDUSTRIAL NOVA CAPITAL, ANAPOLIS",750.000,3,90 m²,1 Vaga
"AVENIDA PROFESSORA ZENAIDE DE C. RORIZ, JUNDIAI, ANAPOLIS",370.000,3,78 m²,1 Vaga
"Rua RC 10, RESIDENCIAL CEREJEIRAS, ANAPOLIS",85.000,2,47 m²,1 Vaga
"AVENIDA JUSCELINO KUBITSCHEK, JUNDIAI, ANAPOLIS",295.000,3,82 m²,1 Vaga
"Rua ELIAS GOMES, JUNDIAI, ANAPOLIS",1.200.000,3,151 m²,4 Vagas
"Rua DAYSE FANSTONE, CIDADE UNIVERSITARIA, ANAPOLIS",280.000,2,57 m²,1 Vaga
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",830.000,2,99 m²,2 Vagas
"Rua CARLINHOS JOSE RIBEIRO, VILA JAIARA, ANAPOLIS",370.000,3,78 m²,2 Vagas
"Rua DOUTOR EVANDRO PINTO SILVA, CIDADE UNIVERSITARIA, ANAPOLIS",260.000,2,55 m²,1 Vaga
"Rua DAS LARANJEIRAS, GRAN VILLE, ANAPOLIS",277.000,2,50 m²,1 Vaga
"AVENIDA UNIVERSITARIA, JARDIM DAS AMERICAS 2 ETAPA, ANAPOLIS",330.000,1,37 m²,
"AVENIDA SENADOR JOSE LOURENCO DIAS, SETOR CENTRAL, ANAPOLIS",320.000,3,90 m²,1 Vaga
"AVENIDA PLANALTO, VILA JAIARA, ANAPOLIS",193.000,2,53 m²,1 Vaga
"Rua RC 10, RESIDENCIAL CEREJEIRAS, ANAPOLIS",250.000,2,47 m²,1 Vaga
"Rua PADRE CASTELLI, JUNDIAI, ANAPOLIS",600.000,3,90 m²,2 Vagas
"AVENIDA FEDERAL, SETOR CENTRAL, ANAPOLIS",420.000,3,92 m²,2 Vagas
"Avenida Ayrton Senna, VILA GOIS, ANAPOLIS",240.000,2,54 m²,1 Vaga
